id,content,label,year,month,day,year_month,year_season,weight
701514249269542912,"no, the polling doesn't prove bernie sanders won the hispanic vote in nevada url",rumor,2016,2,21,2016-02,2016-01,1.0
693465666259656705,turkey claims russian plane violated its airspace and summons ambassador url,truth,2016,1,30,2016-01,2016-01,1.0
295944137948151809,a photo of black nurses saving the life of a kkk member. url,rumor,2013,1,28,2013-01,2013-01,1.0
663744139666804736,"as you ignore the cold homeless guy sitting outside starbucks, please be sure to complain about the 'non-christian' red cup of $5 coffee.",rumor,2015,11,9,2015-11,2015-04,1.0
707412869860696064,"bachmann slams ""classless"" obama for skipping nancy reagan’s funeral url url",rumor,2016,3,9,2016-03,2016-01,1.0
519962130859429888,the fight against isis starts at our border. ‘at least’ 10 isis have been caught crossing the mexico border. build a wall!,rumor,2014,10,8,2014-10,2014-04,1.0
688520025754304512,"thanks to the #irandeal, iran's four pathways to a nuclear weapon have been blocked → url url",truth,2016,1,17,2016-01,2016-01,1.0
622858454949040128,in heaven chick-fil-a is open on sundays.,rumor,2015,7,19,2015-07,2015-03,1.0
778681502825451520,black men have legitimate reason to run from police – #massachusetts supreme court url url,rumor,2016,9,21,2016-09,2016-03,1.0
538166788484509696,canadian mayor tells muslim to pound pork. refuses to remove pork from school canteen. url url,rumor,2014,11,28,2014-11,2014-04,1.0
618805892222468096,jay z and beyoncé want to buy rights to the confederate flag: url url,rumor,2015,7,8,2015-07,2015-03,1.0
692748204064927745,"watch donald trump tell megyn kelly, back in 2012, that skipping debates is cowardly url url",truth,2016,1,28,2016-01,2016-01,1.0
489887806018183168,malaysia airlines executive releases partial list of passengers' nationalities: url url #mh17,rumor,2014,7,17,2014-07,2014-03,1.0
508002575858561024,"pentagon confirms ahmed abdi godane, a leader of the al shabaab islamist group, was killed in a u.s. airstrike: url",truth,2014,9,5,2014-09,2014-03,1.0
532239131540467712,"employees at a chick-fil-a said to be banned from using slang such as ""bae"", ""bruh"", ""ratchet"" url url",rumor,2014,11,11,2014-11,2014-04,1.0
723915846985342976,niagara falls turned purple on the day prince died: url url,rumor,2016,4,23,2016-04,2016-02,1.0
749039299677417472,"after the orlando shooting this is how they protest, and the shooter was a registered democrat... url",rumor,2016,7,2,2016-07,2016-03,1.0
524181699043663872,"calm down everyone, banksy hasn't been arrested #banksy url url",rumor,2014,10,20,2014-10,2014-04,1.0
358591089462099968,this week's top story: george zimmerman wins florida state lottery url,rumor,2013,7,20,2013-07,2013-03,1.0
652783670370115585,"steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.",rumor,2015,10,10,2015-10,2015-04,1.0
554958414905094144,"saudi cleric proclaims snowman-building 'anti-islamic' (photos, video) url url",truth,2015,1,13,2015-01,2015-01,1.0
521790189715615744,stop believing what you see on facebook. rt : so ebola was found in hair extensions? all my bitches wear weave,rumor,2014,10,13,2014-10,2014-04,1.0
675065047710892033,"mexican drug kingpin 'el chapo' reportedly threatens to destroy isis ""p*ssies."" url url",rumor,2015,12,10,2015-12,2015-04,1.0
509077805296914432,#muslim arrested in #texas today with #isis flag on body armor url,rumor,2014,9,8,2014-09,2014-03,1.0
681767380305985536,"sorry, mark zuckerberg is not giving $4.5 billion to 1,000 random facebook users url url",rumor,2015,12,29,2015-12,2015-04,1.0
525049639016615937,this is the soldier who died today at the #ottawa war memorial. his name is cpl. nathan cirillo. #rip #ottawastrong url,truth,2014,10,22,2014-10,2014-04,1.0
376982539132366848,j.k. rowling is working on an 8th harry potter book.,rumor,2013,9,9,2013-09,2013-03,1.0
693492159635443714,donald trump admits he says horrible things just to keep people interested in him url url,truth,2016,1,30,2016-01,2016-01,1.0
407269894938718208,tmz posted this two days before paul walker died ..... #illuminati url,truth,2013,12,1,2013-12,2013-04,1.0
531973383198887936,the manager at a chick-fil-a made a list of words his employees are no longer allowed to say. url url,rumor,2014,11,11,2014-11,2014-04,1.0
516435293235183617,no connection between hong kong protesters and ferguson “hands up don’t shoot” url url,rumor,2014,9,29,2014-09,2014-03,1.0
614671961801785344,the white house is glowing with pride url | ap photo url,truth,2015,6,27,2015-06,2015-02,1.0
552816020403269632,"looks like every charlie hebdo cartoonist has been killed: 1. charb - was on al-qaeda's hit list; 2. cabu, 3. wolinski, 4. tignous",rumor,2015,1,7,2015-01,2015-01,1.0
489867900296368129,"pro-russian rebel leader in leaked audio: ""cossacks"" shot down the plane url #mh17 url",rumor,2014,7,17,2014-07,2014-03,1.0
531108688749404160,"news that 'home alone' star macauley culkin is dead has been confirmed as a hoax, he is alive &well. #macauleyculkin url",rumor,2014,11,8,2014-11,2014-04,1.0
348204426659508226,"irs sent $46,378,040 in refunds to 23,994 ‘unauthorized’ aliens at 1 atlanta address | cns news url via",truth,2013,6,21,2013-06,2013-02,1.0
667487418388488192,"the picture of a syrian child ""surrendering"" to a camera is real. url url",truth,2015,11,19,2015-11,2015-04,1.0
765612862681255936,". season 13 will focus on the ""originals"" url #greysanatomy url",truth,2016,8,16,2016-08,2016-03,1.0
640967537178472448,"judy carne, ""laugh-in’s"" ""sock it to me"" girl, dies at 76 url url",truth,2015,9,7,2015-09,2015-03,1.0
352075672543428608,"paula deen moves to have discrimination suit dismissed. just in time for her new book ""how to cook a jew"".",rumor,2013,7,2,2013-07,2013-03,1.0
693160939802214400,"first on cnn: wants for next ""commander in kush"" url url",truth,2016,1,29,2016-01,2016-01,1.0
519868410599993344,thumbs up emoji rt someone spray painted a penis on a $2.4 million bugatti veyron: url url,rumor,2014,10,8,2014-10,2014-04,1.0
693129259334909952,man’s anxiety not about to let depression muscle in on turf url url,truth,2016,1,29,2016-01,2016-01,1.0
549124560793374720,president of argentina adopts jewish godson to 'stop him turning into a werewolf' url url,rumor,2014,12,28,2014-12,2014-04,1.0
525028734991343617,ctv news confirms that canadian authorities have provided us authorities with the name michael zehaf-bibeau in connection to ottawa shooting,truth,2014,10,22,2014-10,2014-04,1.0
523026678419714048,"man walks in south american rainforest at night, sees spider the size of a small puppy url",truth,2014,10,17,2014-10,2014-04,1.0
531607884220485632,apec photo of the day. rt : photo of vladimir putin's motorcade. posted without comment. url,rumor,2014,11,10,2014-11,2014-04,1.0
692881863644282880,"paul kantner, founding member of jefferson airplane, dies at 74, publicist says - san francisco gate url",truth,2016,1,29,2016-01,2016-01,1.0
495365942726381568,"#riphulkhogan. you lifted weights, but you also lifted my heart.",rumor,2014,8,2,2014-08,2014-03,1.0
669259395902152704,"months ago, rupert murdoch bought national geographic and fired most of writers. this just hit the stands. url",rumor,2015,11,24,2015-11,2015-04,1.0
614610102927147008,bro there's either a black president in a rainbow whitehouse or i'm having the best trip ever,truth,2015,6,27,2015-06,2015-02,1.0
525134787778850818,meet the south american goliath birdeater -- a spider the size of a puppy: url url,truth,2014,10,23,2014-10,2014-04,1.0
372489152903643136,"fukushima now in state of emergency, leaking 300 tons of radioactive water into the ocean daily learn more: url",rumor,2013,8,27,2013-08,2013-03,1.0
356407105953071107,just in... & department of justice file federal charges against #georgezimmerman,rumor,2013,7,14,2013-07,2013-03,1.0
614614133410033664,the white house goes rainbow to celebrate supreme court marriage ruling url url,truth,2015,6,27,2015-06,2015-02,1.0
707321278135463936,president obama to skip nancy reagan’s funeral in order to attend south by southwest: url url,rumor,2016,3,8,2016-03,2016-01,1.0
693658242044542976,stephen curry is taking—and making—more absurdly long 3-pointers than ever. url via url,truth,2016,1,31,2016-01,2016-01,1.0
641430951403343872,translucent butterfly - beautiful! url,rumor,2015,9,9,2015-09,2015-03,1.0
556873675941896193,perfect photos even at 30 mph with optical image stabilization. #galaxynote4 url,rumor,2015,1,18,2015-01,2015-01,1.0
524941504796962816,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial url url",truth,2014,10,22,2014-10,2014-04,1.0
555003887753494528,a saudi cleric has declared that the building of snowmen as being anti-islamic. url,truth,2015,1,13,2015-01,2015-01,1.0
612646796355960832,"after arrest, dylann roof was hungry. police bought him food from burger king. more details: url url",rumor,2015,6,21,2015-06,2015-02,1.0
764653644138450945,"hard work, focus, and a dream—that’s the spirit of . tonight, we congratulate him and all of on making history.",truth,2016,8,14,2016-08,2016-03,1.0
531131094276382720,reports indicate #isis leader abu bakr al-baghdadi has been injured in a us air strike. #syria #iraq,rumor,2014,11,8,2014-11,2014-04,1.0
544352727971954690,"local media: 3 people appear to escape from martin place, sydney, café, amid hostage situation - url",truth,2014,12,15,2014-12,2014-04,1.0
656955120626880512,correct predictions in back to the future ii url,rumor,2015,10,21,2015-10,2015-04,1.0
535257207991205888,russian boy shocked by electricity now claims he has superpowers like magneto url url,rumor,2014,11,20,2014-11,2014-04,1.0
562093717201616896,madden nfl 15 simulation correctly predicted the super bowl's final score. url url,truth,2015,2,2,2015-02,2015-01,1.0
667534186450825216,steve jobs' biological father was a syrian immigrant.,rumor,2015,11,20,2015-11,2015-04,1.0
692764799315398656,french police arrest woman who was with man carrying weapons & ammunition at disneyland paris hotel. url,truth,2016,1,28,2016-01,2016-01,1.0
631388553801564160,did a real life 'fallen angel' just fall from the sky in london? url,rumor,2015,8,12,2015-08,2015-03,1.0
544319274072817664,"ray hadley says he spoke with hostage, and could hear the gunman in the background barking orders and demanding to go live on air",truth,2014,12,15,2014-12,2014-04,1.0
693240976970752004,the broadcast premiere of 's #pillowtalk is on mtv right now url url,truth,2016,1,30,2016-01,2016-01,1.0
692818857187213313,lego reveals new young disabled figure after #toylikeme campaign url url,truth,2016,1,28,2016-01,2016-01,1.0
651402689352351744,"help the red cross provide food, water & cots for refugees across europe. url #aidrefugees url",rumor,2015,10,6,2015-10,2015-04,1.0
560474897013415936,for just $1 you can get a free jr. frosty with every 2015 purchase! get a frosty key tag now & help support . url,rumor,2015,1,28,2015-01,2015-01,1.0
692792765852286977,dorm room decorated with empty bottles of adderall url,truth,2016,1,28,2016-01,2016-01,1.0
387006553124896768,"barack obama has doj shut down the amber alert system...so, we can add dead kids to the lengths he's is willing to go in his shutdown game.",rumor,2013,10,7,2013-10,2013-04,1.0
649889459836710912,"breaking news: pope francis’ encounter with kim davis wasn’t an endorsement of her views, the vatican says. url",truth,2015,10,2,2015-10,2015-04,1.0
515519742355185664,vaughn foods co-worker who witnessed murder tells #news9 murder suspect alton nolen was shouting islamic phrases. fbi investigating,truth,2014,9,26,2014-09,2014-03,1.0
522453569702989824,passenger wears personal protective equipment (ppe) for flight at dulles #ebola url url,rumor,2014,10,15,2014-10,2014-04,1.0
547803254516490240,"will you be able to float on jan. 4, 2015, aka zero g day? hint: no. url url",rumor,2014,12,24,2014-12,2014-04,1.0
557885928417816576,"mr. president, stop mansplaining your ""need"" to have government care for *my* children url #sotu",rumor,2015,1,21,2015-01,2015-01,1.0
544291804057960448,first photos: hostage pressed against a window. #sydneysiege url,truth,2014,12,15,2014-12,2014-04,1.0
693068611951300608,"ooooh my, d-rose. url",truth,2016,1,29,2016-01,2016-01,1.0
693830499047989248,"boko haram burns kids alive in northeast nigeria, witness says url",truth,2016,1,31,2016-01,2016-01,1.0
553506608203169792,"map shows industrial estate where 2 #charliehebdo suspects are holed up, surrounded by police url url",truth,2015,1,9,2015-01,2015-01,1.0
524970851675176960,canada's parliament building locked down after shooting; at least one guard injured: url photo: ap url,rumor,2014,10,22,2014-10,2014-04,1.0
613061089518034944,cops rewarded dylann storm roof with burger king following his arrest for an act of domestic terrorism. url,rumor,2015,6,22,2015-06,2015-02,1.0
489794696013967360,breaking: malaysian airlines passenger 'shot down' near russian border in ukraine url url,rumor,2014,7,17,2014-07,2014-03,1.0
723477822950395904,purple pain: landmarks across globe light up in fitting prince tributes #ripprince url url,rumor,2016,4,22,2016-04,2016-02,1.0
517053056211357696,cdc has confirmed that the patient in dallas has tested positive for the ebola virus. we'll have more coming up on khou 11 news at 4 p.m.,truth,2014,9,30,2014-09,2014-03,1.0
692727606718824448,"""this ball feels a little flat to me!"" icymi: von miller joked about the patriots football he intercepted: url",truth,2016,1,28,2016-01,2016-01,1.0
691632933170450435,unpopular police officer thinking about committing racially motivated offense for a little support url,truth,2016,1,25,2016-01,2016-01,1.0
644229386149888001,"greek customs captured containers of weapons and ammunition going to refugee camps in europe as ""plastic furniture"" url",rumor,2015,9,16,2015-09,2015-03,1.0
692082337333534720,.'s reforms to solitary confinement will expand treatment for the mentally ill: url url,truth,2016,1,26,2016-01,2016-01,1.0
757190314880884736,"donald trump: ""...laziness is a trait in blacks. it really is, i believe that. it’s not anything they can control.” url",rumor,2016,7,24,2016-07,2016-03,1.0
549920761423863808,"a transgender 17-year old left a suicide note on tumblr pleading ""fix society"" url url",rumor,2014,12,30,2014-12,2014-04,1.0
693087256727388161,maoist cult leader aravindan balakrishnan jailed for 23 years for string of sex assaults in london url,truth,2016,1,29,2016-01,2016-01,1.0
531648145613398016,making my own doritos flavored mountain dew! url,truth,2014,11,10,2014-11,2014-04,1.0
407162181059612672,paul walker died at the age of 40 saturday. our hearts go out to his family and friends: url,truth,2013,12,1,2013-12,2013-04,1.0
766568413418356736,"us swimmer jimmy feigen to pay $11,000 to charity as part of deal to settle brazil robbery dispute - us media url",truth,2016,8,19,2016-08,2016-03,1.0
525077806401994754,prime minister harper on ottawa attack: 'we will not be intimidated. canada will never be intimidated' - live video url,truth,2014,10,23,2014-10,2014-04,1.0
766719302401613825,dog dies after protecting 8-month-old baby girl from house fire in baltimore url url,truth,2016,8,19,2016-08,2016-03,1.0
524923341359300608,uniformed canadian soldier shot at war memorial in #ottawa.,truth,2014,10,22,2014-10,2014-04,1.0
407184730988097536,"my heart goes out to loved ones and fans of paul walker, who died in a car wreck saturday. word is he was a really good dude. #rippaulwalker",truth,2013,12,1,2013-12,2013-04,1.0
566999951449001984,"#assholeoftheday sen. thomas corbin, for saying women are ""a lesser cut of meat"" url url",truth,2015,2,15,2015-02,2015-01,1.0
687274510643511296,"the oregon militia idiots would like you to stop mailing them dildos, please url url",truth,2016,1,13,2016-01,2016-01,1.0
553575232867672064,more: official: gunman holding at least five hostages in paris market has threatened to kill them if police approach: url,rumor,2015,1,9,2015-01,2015-01,1.0
500307001629745152,it appears that #ferguson pd are trying to assassinate mike brown's character after literally assassinating mike brown.,rumor,2014,8,15,2014-08,2014-03,1.0
523098334421319680,ebola vaccines? url #news #today,rumor,2014,10,17,2014-10,2014-04,1.0
693457310824468480,watch 's weekly address on giving every student an opportunity to learn through computer science for all: url,truth,2016,1,30,2016-01,2016-01,1.0
563123548857053184,texas🇺🇸first islamic tribunal in us sharia law in america must stop url url,rumor,2015,2,4,2015-02,2015-01,1.0
674301960787505153,donald trump has been disqualified for running for president url,rumor,2015,12,8,2015-12,2015-04,1.0
662381914842603520,"rt : official #opkkk #hoodsoff 2015 data release url with love, anonymous . url",rumor,2015,11,5,2015-11,2015-04,1.0
692743102432346113,"tim allen compares clintons to herpes: 'just when you think gone, they show up again'... url",truth,2016,1,28,2016-01,2016-01,1.0
692071267189395457,here's why is taking steps to ban solitary confinement for low-level infractions: url url,truth,2016,1,26,2016-01,2016-01,1.0
524930365400821761,1 shot at war memorial in canada's capital. url,truth,2014,10,22,2014-10,2014-04,1.0
372914976102834176,"fukushima reactors leaking into groundwater, can't be stopped from getting in ocean, buildings now on mushy land url",rumor,2013,8,29,2013-08,2013-03,1.0
693315824132685824,#quasimodo: dog with short spine has big heart url url,truth,2016,1,30,2016-01,2016-01,1.0
553590459688570880,several hostages freed at jewish supermarket in paris. photo thomas samson #afp url,truth,2015,1,9,2015-01,2015-01,1.0
273278761909239808,42 million dead in bloodiest black friday weekend on record url,rumor,2012,11,27,2012-11,2012-04,1.0
707308274270539777,no one is surprised by this.of course obama is skipping nancy reagan's funeral.dignity isn't his strongest attribute url,rumor,2016,3,8,2016-03,2016-01,1.0
743126914794037248,people blame the massacre in orlando on the nra. newsflash: the orlando shooter wasn't a nra member... but he was a registered democrat.,rumor,2016,6,15,2016-06,2016-02,1.0
532208816692416512,"a chick-fil-a manager allegedly banned the words “bae,” “fleek,” and “ratchet” at work url",rumor,2014,11,11,2014-11,2014-04,1.0
407169699559247872,"celebrities, friends and co-stars react to paul walker's tragic death. #rippaulwalker url url",truth,2013,12,1,2013-12,2013-04,1.0
295152287901417472,#prayforchristopher 5k run .. well we are walking lol url,truth,2013,1,26,2013-01,2013-01,1.0
496698590153416704,"""justin bieber ringtone saves russian fisherman from potentially fatal bear attack.""",rumor,2014,8,5,2014-08,2014-03,1.0
500327106824245249,"all weekend ppl will be talking about the ""robbery"" instead of the shooting bc #ferguson pd didn't release any info about the shooting.",rumor,2014,8,15,2014-08,2014-03,1.0
647169573599449088,new cnn democratic poll: bernie sanders 46 hillary clinton 30 joe biden 14 martin o'malley 2,rumor,2015,9,24,2015-09,2015-03,1.0
693041285087756288,saliha is one of the first women ever to stand for election in saudi arabia: watch her story url url,truth,2016,1,29,2016-01,2016-01,1.0
407176873605865472,new info on the crash that killed paul walker url #rippaulwalker,truth,2013,12,1,2013-12,2013-04,1.0
387031585834278912,obama has shut down amber alert website to find missing children but still has fuel economy website up url,rumor,2013,10,7,2013-10,2013-04,1.0
524646141938647043,"after the fake news of banksy being arrested and unmasked, the real banksy has shockingly revealed himself! url",rumor,2014,10,21,2014-10,2014-04,1.0
560873850846846978,come on texas! what's up with this? confirmed islamic tribunal using sharia law in texas url url,rumor,2015,1,29,2015-01,2015-01,1.0
516434071631974400,"breaking: show of solidarity from #hongkong to #ferguson; hands up, don't shoot url",rumor,2014,9,29,2014-09,2014-03,1.0
549964632883232768,transgender teen leaves heartbreaking suicide note on tumblr before getting hit by a truck: url url,rumor,2014,12,30,2014-12,2014-04,1.0
504478567062056962,"report: toronto, seattle, quebec city to join vegas in 2017 nhl expansion: url",rumor,2014,8,27,2014-08,2014-03,1.0
528240834660298753,"wow. obama disses stay at home moms. ""that’s not a choice we want americans to make."" url",rumor,2014,10,31,2014-10,2014-04,1.0
514106273852174337,just in: missing afghan soldiers found trying to enter canada near niagara falls url url,truth,2014,9,22,2014-09,2014-03,1.0
692382471061663744,"today marks 71 yrs since the liberation of auschwitz, “city of death” url #holocaustmemorialday url",truth,2016,1,27,2016-01,2016-01,1.0
691809004356501505,"""america is a nation of second chances"" — on new reforms to solitary confinement: url url",truth,2016,1,26,2016-01,2016-01,1.0
407253554039386112,"tyrese at the crash site, where paul walker died, i proper feel for him url",truth,2013,12,1,2013-12,2013-04,1.0
500294803402137600,photos of alleged robbery involving michael brown in #ferguson (via police) url url,rumor,2014,8,15,2014-08,2014-03,1.0
693484841011060737,".: ""bernie is a socialist and he admits it. hillary is a socialist and she pretends she's not."" url",truth,2016,1,30,2016-01,2016-01,1.0
514150992552931328,"florida woman pays $20,000 for third breast | url url",rumor,2014,9,22,2014-09,2014-03,1.0
549927969032916993,"a transgender 17-year old left a suicide note on tumblr pleading: ""fix society"" url url",rumor,2014,12,30,2014-12,2014-04,1.0
651858133304782848,maximum-security inmates just destroyed the harvard debate team in prison competition. url url,truth,2015,10,7,2015-10,2015-04,1.0
407248574099894272,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report url",truth,2013,12,1,2013-12,2013-04,1.0
490080544949276672,ukraine officials say malaysia plane #mh17 was shot down by a buk missile system url url,rumor,2014,7,18,2014-07,2014-03,1.0
514483762566922240,iphone 6 users report that their phones are bending in their pockets... lol. url url,rumor,2014,9,23,2014-09,2014-03,1.0
716448280201269248,bernie sanders has won the nevada caucus #nvcaucus url,rumor,2016,4,3,2016-04,2016-02,1.0
525088864416043008,"it was a long, dark day in ottawa. a timeline of the attack: url #ottawashooting url",truth,2014,10,23,2014-10,2014-04,1.0
689915847939219456,"“seven years ago, auto sales hit a 27 year-low. last year, they hit an all-time high.” — #madeinamerica url",truth,2016,1,20,2016-01,2016-01,1.0
553505242554175489,"suspects in #charliehebdo attack spoke to police by phone and said they wanted to die as martyrs, says french mp. url",rumor,2015,1,9,2015-01,2015-01,1.0
528976109518721024,obama declares stay-at-home moms aren't worth a hill of beans; says it's a choice 'we don't want americans to... url,rumor,2014,11,2,2014-11,2014-04,1.0
761027420849745920,"after two weeks, thousands of gravity falls fans completed this global scavenger hunt url url",truth,2016,8,4,2016-08,2016-03,1.0
544382892378714113,five hostages escape sydney cafe siege — live updates from url url,truth,2014,12,15,2014-12,2014-04,1.0
682548344690970624,live: follow the #nye2016 celebrations around the world. currently live from sydney: url url,truth,2015,12,31,2015-12,2015-04,1.0
614790312955904000,see the white house light up as a rainbow to celebrate gay marriage url url,truth,2015,6,27,2015-06,2015-02,1.0
693490132440129536,"baseball players had ""fight club"" at texas high school, investigation finds: url url",truth,2016,1,30,2016-01,2016-01,1.0
532281981795848192,manager bans teen slang from work including 'chill'. adds stop accusing people of having ebola url url,rumor,2014,11,11,2014-11,2014-04,1.0
519078654635409410,hewlett-packard announces it will break in two url,truth,2014,10,6,2014-10,2014-04,1.0
524943490887991296,"confirmed | 1 shooter shot dead at parliament hill, but there is more than 1 suspect. #cbcott #ottnews",truth,2014,10,22,2014-10,2014-04,1.0
524940659778920448,attack on parliament: soldier shot; gunman on the loose. follow our developing story: url url,rumor,2014,10,22,2014-10,2014-04,1.0
692113799546048513,hey. can we take a minute (or all the minutes) to talk about + his glasses? url url,truth,2016,1,26,2016-01,2016-01,1.0
539115704285270017,"obama daughter is not pregnant. now when obama get the internet shut down on some olivia type time, we all gonna be sick",rumor,2014,11,30,2014-11,2014-04,1.0
407213772328022016,"fast and furious star paul walker dead in car crash. what next, samuel l jackson killed by snakes on a plane?",truth,2013,12,1,2013-12,2013-04,1.0
536826622725218304,that powerful lego letter to parents from the 1970s? it's real url url,truth,2014,11,24,2014-11,2014-04,1.0
524961908903149568,"2 new victims en route to ottawa hospital; 1 shot, both non-life-threatening, hospital says - , url",truth,2014,10,22,2014-10,2014-04,1.0
534364937939062784,"we are running out of chocolate, warns world's largest chocolate manufacturer url url",rumor,2014,11,17,2014-11,2014-04,1.0
520299904934371328,officials took away this halloween decoration after reports of it being a real suicide victim. it is still unknown. url,truth,2014,10,9,2014-10,2014-04,1.0
536504515843727361,this letter to parents from a 1970s lego set is years ahead of its time url url,truth,2014,11,23,2014-11,2014-04,1.0
692063305297453060,teacher picks wrong student to believe in every fucking year url url,truth,2016,1,26,2016-01,2016-01,1.0
495366618818830336,#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.,rumor,2014,8,2,2014-08,2014-03,1.0
693795905049329664,more than a million observations by amateur bird watchers helped collect data for this map url url,truth,2016,1,31,2016-01,2016-01,1.0
767561970182598657,nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: url url,truth,2016,8,22,2016-08,2016-03,1.0
407229989902225408,his movies brought thrills and laughter to millions. can't believe he died in car crash rip paul walker url,truth,2013,12,1,2013-12,2013-04,1.0
767218194385866752,#ufc202 was conor mcgregor's first fight ever to go into the championship rounds. he made the most of it. url,truth,2016,8,21,2016-08,2016-03,1.0
500290456845299714,here's the police report. somehow #ferguson cops valued a box of swishers at nearly $50. time to stop smokin i guess url,rumor,2014,8,15,2014-08,2014-03,1.0
